연번,시도,시군구,주소(도로명) ,운영기관,연락처
1,서울,종로구,서울특별시 종로구 종로53길 29 3층,종로구가족센터,02-6271-3502
2,서울,중구,서울특별시 중구 다산로33길 3 2층,서울중구가족센터,02-2254-0064
3,서울,용산구,서울특별시 용산구 서빙고로 17 공공시설동 2층,용산구가족센터,02-6272-9186
4,서울,성동구,서울특별시 성동구 난계로 6 2층,성동구가족센터,070-7487-1004
5,서울,동대문구,서울특별시 동대문구 청계천로 521 다사랑행복센터 7층,동대문구가족센터,070-7422-6635
6,서울,동대문구,서울특별시 동대문구 고산자로 36길 3 경동시장 신관 2층,동대문구가족센터,070-7422-6650
7,서울,중랑구,서울특별시 중랑구 용마산로 327 2층,중랑구가족센터,070-7434-5500
8,서울,성북구,서울특별시 성북구 정릉로27길 61-6 4층,성북구가족센터,070-4917-2960
9,서울,강북구,서울특별시 강북구 한천로129길 6 1층,강북구가족센터,070-7462-1984
10,서울,강북구,서울특별시 강북구 수유로12길 63 101동 2층,강북구가족센터,02-6956-2568
11,서울,강북구,서울특별시 강북구 인수봉로 78길 24 1층,강북구가족센터,070-7404-2566
12,서울,강북구,서울특별시 강북구 오현로 208 번3단지 309동 복지주택 1층,강북구가족센터,070-7404-2567
13,서울,도봉구,서울특별시 도봉구 노해로69길 151 3층,도봉구가족센터,02-995-6800(301)
14,서울,도봉구,서울특별시 도봉구 도봉로 552 2층,도봉구가족센터,02-995-6800(302)
15,서울,도봉구,서울특별시 도봉구 덕릉로 63길 53 3층,도봉구가족센터,02-995-6800(303)
16,서울,노원구,서울특별시 노원구 동일로 173가길 87 1층,노원구가족센터,02-6401-3505
17,서울,은평구,서울특별시 은평구 은평로21가길 15-17 1층,은평구가족센터,070-7492-5208
18,서울,은평구,서울특별시 은평구 서오릉로 114-16 2층,은평구가족센터,070-7464-1004
19,서울,서대문구,서울특별시 서대문구 통일로 27길 19 2층,서대문구가족센터,070-4447-1585
20,서울,서대문구,서울특별시 서대문구 연희로 32길 48 2층,서대문구가족센터,070-8822-7597
21,서울,마포구,"서울특별시 마포구 성산로4길 15, 1층(성산1동주민센터)",마포구가족센터,070-7467-0730
22,서울,양천구,서울특별시 양천구 남부순환로83길 53 신월6동복합청사 3층,양천구가족센터,070-7433-3419
23,서울,강서구,서울특별시 강서구 강서로5길 50 곰달래문화센터 4층,강서구가족센터,02-2606-2017
24,서울,강서구,서울특별시 강서구 화곡로54길 43 2층,강서구가족센터,02-6095-0032
25,서울,금천구,"서울특별시 금천구 시흥대로 467, 2층",금천구가족센터,02-803-7747(5)
26,서울,구로구,서울특별시 구로구 우마2길35 3층,구로구가족센터,070-4066-5094
27,서울,구로구,서울특별시 구로구 경인로20가길 68,구로구가족센터,070-4066-0486
28,서울,영등포구,서울특별시 영등포구 영등포로84길 24-5 4층,영등포구가족센터,02-846-5432
29,서울,동작구,서울특별시 동작구 상도1동 514 2층,동작구가족센터,02-599-3260
30,서울,관악구,서울특별시 관악구 신림로 3길 35 3층,관악구가족센터,02-883-9397
31,서울,관악구,서울특별시 관악구 낙성대로 4가길 5 4층,관악구가족센터,02-883-9399
32,서울,관악구,서울특별시 관악구 은천동 9길 20 2층,관악구가족센터,070-5030-5433
